user,place,total,last_point_datetime,day1_done,day2_done,day3_done,day4_done,day5_done,helping_day1,helping_day2,helping_day3,helping_day4,helping_day5,done_extra,friends_points
UHR2P0JVB,1,115.0,1567454463.0,100.0,,,,,0,0,0,0,0,0,15
UMW97LMK8,2,111.0,1567410418.0,100.0,,,,,11,0,0,0,0,0,0
UJMKCGCGL,3,110.0,1567454450.0,100.0,,,,,0,0,0,0,0,0,10
UDE0N0X0B,4,110.0,1567443136.0,100.0,,,,,0,0,0,0,0,0,10
UDE10D1QU,5,110.0,1567405541.0,100.0,,,,,0,0,0,0,0,0,10
UCH8DGL6P,6,109.0,1567421826.0,100.0,,,,,9,0,0,0,0,0,0
UMPKWSEES,7,106.0,1567448664.0,100.0,,,,,1,0,0,0,0,0,5
UHGC1NXH7,8,105.0,1567462429.0,100.0,,,,,0,0,0,0,0,0,5
UMKD575AP,9,105.0,1567458262.0,100.0,,,,,0,0,0,0,0,0,5
UH300VCFQ,10,105.0,1567456708.0,100.0,,,,,0,0,0,0,0,0,5
UG41CGB2N,11,105.0,1567449813.0,100.0,,,,,0,0,0,0,0,0,5
UHGNSGTJ9,12,105.0,1567448952.0,100.0,,,,,0,0,0,0,0,0,5
UH19R5951,13,105.0,1567445355.0,100.0,,,,,0,0,0,0,0,0,5
UH730MQD7,14,105.0,1567444584.0,100.0,,,,,0,0,0,0,0,0,5
UH2ER866A,15,105.0,1567440155.0,100.0,,,,,0,0,0,0,0,0,5
UJJFJ7TPS,16,105.0,1567430165.0,100.0,,,,,0,0,0,0,0,0,5
UH42CU2P8,17,105.0,1567426313.0,100.0,,,,,0,0,0,0,0,0,5
UJPNY28F8,18,105.0,1567413731.0,100.0,,,,,0,0,0,0,0,0,5
UG20PE7BL,19,105.0,1567411317.0,100.0,,,,,0,0,0,0,0,0,5
UG1KCV69W,20,105.0,1567408019.0,100.0,,,,,0,0,0,0,0,0,5
UH1R3HMU5,21,105.0,1567398972.0,100.0,,,,,0,0,0,0,0,0,5
UDA51P2P2,22,105.0,1567394896.0,100.0,,,,,5,0,0,0,0,0,0
